country,degree_raw,closeness_raw,betweenness_raw,eigenvector_raw,pagerank_raw,degree_norm,closeness_norm,betweenness_norm,eigenvector_norm,pagerank_norm,composite_score,rank,is_hub,is_broker,role
Bahrain,3,0.0024330900243309003,45.62199938604481,0.03320974428732629,0.003060041465189243,0.06666666666666667,0.0014692572610693843,0.018721842722768996,0.03320974428732627,0.0592647373145283,0.03586644965047193,101,FALSE,FALSE,Peripheral
Palestinian Territories,3,0.0024390243902439024,2.9768534668992332,0.03377444178179752,0.0029177142317035687,0.06666666666666667,0.001475197360669259,0.001221607627154211,0.033774441781797504,0.05346942988807912,0.031321468664873356,102,FALSE,FALSE,Peripheral
Namibia,1,0.058823529411764705,0,2.1318509356530018e-17,0.003993518695809868,0,0.057914180164819556,0,1.0230212729797865e-17,0.09727424114979699,0.03103768426292331,103,FALSE,FALSE,Peripheral
Botswana,1,0.07692307692307693,0,1.1088296626732154e-17,0.002532473633622294,0,0.07603121516164996,0,0,0.037783129772824976,0.022762868986894984,104,FALSE,FALSE,Peripheral
Dominican Republic,2,0.002127659574468085,0,0.05060472097118369,0.002206961275380684,0.03333333333333333,0.0011635317093226438,0,0.050604720971183674,0.024528855514002506,0.021926088305568435,105,FALSE,FALSE,Peripheral
Laos,2,0.0022371364653243847,2.075580860363469,0.02549069052183732,0.002473121541617381,0.03333333333333333,0.0012731143749527174,8.517535169228205e-4,0.02549069052183731,0.03536641997563787,0.01926306234453681,106,FALSE,FALSE,Peripheral
Macao SAR China,2,0.002105263157894737,0,0.020589254079799155,0.002526048714913769,0.03333333333333333,0.0011411136536994661,0,0.020589254079799144,0.037521518707999545,0.0185170439549663,107,FALSE,FALSE,Peripheral
Greenland,2,0.0018281535648994515,5.0798142304743115,0.0015803480181128633,0.0028857092498421107,0.03333333333333333,8.637363219669873e-4,0.0020845970006504104,0.0015803480181128522,0.05216624493518851,0.01800565192185042,108,FALSE,FALSE,Peripheral
Mauritania,2,0.002183406113537118,0,0.010098835418864036,0.002640841168208347,0.03333333333333333,0.0012193321097820813,0,0.010098835418864026,0.04219565970537478,0.017369432113470844,109,FALSE,FALSE,Peripheral
Senegal,2,0.002183406113537118,0,0.010098835418864024,0.002640841168208347,0.03333333333333333,0.0012193321097820813,0,0.010098835418864013,0.04219565970537478,0.01736943211347084,110,FALSE,FALSE,Peripheral
Qatar,2,0.0022271714922048997,2.6676249676249673,0.0163424836997192,0.0023910526703063567,0.03333333333333333,0.0012631397738398803,0.0010947099153765553,0.01634248369971919,0.032024724027919234,0.01681167815003764,111,FALSE,FALSE,Peripheral
Montenegro,2,0.0025188916876574307,0.6676517926517925,0.016955920375681624,0.0022321396650812697,0.03333333333333333,0.0015551418245537182,2.739834295694004e-4,0.016955920375681614,0.02555407398585964,0.01553449058979954,112,FALSE,FALSE,Peripheral
Cook Islands,1,0.0012048192771084338,0,9.967206216214573e-5,0.003389439758379331,0,2.397997788254468e-4,0,9.967206216213464e-5,0.07267723981340068,0.014603342330877653,113,FALSE,FALSE,Peripheral
Tonga,1,0.0012048192771084338,0,9.96720621621439e-5,0.003389439758379331,0,2.397997788254468e-4,0,9.967206216213281e-5,0.07267723981340068,0.014603342330877653,114,FALSE,FALSE,Peripheral
Nepal,1,0.0015479876160990713,0,0.01352819964008495,0.0027309885580687975,0,5.832996814286356e-4,0,0.01352819964008494,0.04586629831148429,0.011995559526599572,115,FALSE,FALSE,Peripheral
Monaco,1,0.0016556291390728477,0,2.336464116931101e-4,0.002929437405621842,0,6.910452058738843e-4,0,2.3364641169309902e-4,0.05394677631859878,0.010974293587233152,116,FALSE,FALSE,Peripheral
Burkina Faso,1,0.0018832391713747645,0,9.235390920743812e-4,0.002883505459314509,0,9.188751512504889e-4,0,9.235390920743702e-4,0.052076510572353206,0.010783784963135614,117,FALSE,FALSE,Peripheral
Suriname,1,0.0018587360594795538,0,0.04007807758899084,0.0016045559344759588,0,8.943483648510317e-4,0,0.040078077588990825,0,0.008194485190768371,118,FALSE,FALSE,Peripheral
Spain,1,0.002232142857142857,0,0.022390329955920343,0.001710111919261654,0,0.0012681159420289854,0,0.022390329955920333,0.004298048711782691,0.005591298921946402,119,FALSE,FALSE,Peripheral
